city_code,merchant_id,community_id,merchant_status,is_anchor_candidate,anchor_score,pagerank,participation,weighted_degree,visit_count
shanghai,0015006,0,active,1,0.042921743906714466,0.042921743906714466,0.0,44.767754124261764,807
shanghai,0063581,0,active,1,0.04287354018573805,0.04287354018573805,0.0,43.75148146741796,571
shanghai,0014858,0,active,1,0.03694648174865189,0.03694648174865189,0.0,37.88108926397903,382
shanghai,0014829,0,active,0,0.034970072287364304,0.034970072287364304,0.0,38.76702395863751,432
shanghai,0100452,0,active,0,0.03322906529093438,0.03322906529093438,0.0,36.883376745084796,314
shanghai,0014835,0,active,0,0.03229109759890772,0.03229109759890772,0.0,31.63360032165336,338
shanghai,0100446,0,active,0,0.030560737633314038,0.030560737633314038,0.0,35.72573413420647,362
shanghai,0078933,0,active,0,0.029799183331960206,0.029799183331960206,0.0,33.56110320320344,452
shanghai,0035204,0,active,0,0.028500900161211977,0.028500900161211977,0.0,30.6540425347547,445
shanghai,0035193,0,active,0,0.027745798225164795,0.027745798225164795,0.0,28.911081773275633,534
shanghai,0078936,0,active,0,0.027112214607683774,0.027112214607683774,0.0,28.68074786649519,494
shanghai,0063587,0,active,0,0.026402818008422424,0.026402818008422424,0.0,30.56909502823016,323
shanghai,0035195,0,active,0,0.025732697764127142,0.025732697764127142,0.0,26.66420742585829,595
shanghai,0014838,0,active,0,0.024160565484970475,0.024160565484970475,0.0,24.938912812748278,207
shanghai,0035198,0,active,0,0.02398752929573921,0.02398752929573921,0.0,24.81820149579177,525
shanghai,0035203,0,active,0,0.02381910069131302,0.02381910069131302,0.0,23.509206940193994,431
shanghai,0015466,0,active,0,0.02270719709769627,0.02270719709769627,0.0,26.48266873713159,242
shanghai,0035194,0,active,0,0.022207483930800218,0.022207483930800218,0.0,22.858031547773926,444
shanghai,0035200,0,active,0,0.021875679557604187,0.021875679557604187,0.0,20.831960747274113,498
shanghai,0195862,0,active,0,0.02098082007572432,0.02098082007572432,0.0,17.812576627652675,487
shanghai,0035191,0,active,0,0.020884893551392336,0.020884893551392336,0.0,21.426059212547067,596
shanghai,0014832,0,active,0,0.02026342370113434,0.02026342370113434,0.0,22.894893392364693,209
shanghai,0100454,0,active,0,0.019679667555373145,0.019679667555373145,0.0,22.64648789158963,251
shanghai,0063590,0,active,0,0.01950070948315435,0.01950070948315435,0.0,20.215411349819423,229
shanghai,0063583,0,active,0,0.017750566941442454,0.017750566941442454,0.0,18.64789184613074,234
shanghai,0015003,0,active,0,0.016668810005288935,0.016668810005288935,0.0,14.07001187639443,288
shanghai,0100453,0,active,0,0.015696232014980986,0.015696232014980986,0.0,17.47037903521268,186
shanghai,0100450,0,active,0,0.015525378771755097,0.015525378771755097,0.0,17.39903557021218,172
shanghai,0109250,0,active,0,0.014698694420736576,0.014698694420736576,0.0,13.482575842556805,349
shanghai,0014855,0,active,0,0.014666936910216321,0.014666936910216321,0.0,14.510791377452584,163
shanghai,0014837,0,active,0,0.014291248396394302,0.014291248396394302,0.0,14.137536358564343,176
shanghai,0035201,0,active,0,0.014081416761247446,0.014081416761247446,0.0,11.26377892902952,358
shanghai,0063585,0,active,0,0.014024186454026328,0.014024186454026328,0.0,13.999175109691635,109
shanghai,0035192,0,active,0,0.014019243021066934,0.014019243021066934,0.0,13.903660474694956,454
shanghai,0015005,0,active,0,0.012623085925565065,0.012623085925565065,0.0,10.409185814831398,183
shanghai,0015015,0,active,0,0.011970599832372784,0.011970599832372784,0.0,10.984354715963548,189
shanghai,0035197,0,active,0,0.010999276127955027,0.010999276127955027,0.0,10.306694670622186,432
shanghai,0109248,0,active,0,0.010998040489102728,0.010998040489102728,0.0,9.49823032336943,342
shanghai,0100448,0,active,0,0.010949785756633159,0.010949785756633159,0.0,11.089857221399269,150
shanghai,0035199,0,active,0,0.01081631916876315,0.01081631916876315,0.0,10.802872342670952,280
shanghai,0014851,0,active,0,0.009829798805592881,0.009829798805592881,0.0,8.767463342438274,81
shanghai,0015009,0,active,0,0.008848832531368329,0.008848832531368329,0.0,6.175066717672047,106
shanghai,0063605,0,active,0,0.008513191866797163,0.008513191866797163,0.0,5.875331751498639,418
shanghai,0014843,0,active,0,0.008470205773311267,0.008470205773311267,0.0,7.087574967842317,139
shanghai,0015001,0,active,0,0.007278771118514411,0.007278771118514411,0.0,5.206224179067622,134
